12:47:18.161 [restartedMain] INFO  c.r.RuoYiApplication - [logStarting,55] - Starting RuoYiApplication using Java 1.8.0_202 on SC-202208161009 with PID 14440 (D:\RuoYi-Vue-master-pg\RuoYi-Vue-master\ruoyi-admin\target\classes started by Administrator in D:\RuoYi-Vue-master-pg)
12:47:18.165 [restartedMain] INFO  c.r.RuoYiApplication - [logStartupProfileInfo,686] - The following 1 profile is active: "druid"
12:47:27.796 [restartedMain] INFO  c.r.RuoYiApplication - [logStarted,61] - Started RuoYiApplication in 10.034 seconds (JVM running for 11.117)
12:47:27.809 [quartzScheduler_Worker-1] INFO  custmer - [test,35] - 执行测试方法
12:47:30.002 [quartzScheduler_Worker-2] INFO  custmer - [test,35] - 执行测试方法
12:47:35.002 [quartzScheduler_Worker-3] INFO  custmer - [test,35] - 执行测试方法
12:47:40.001 [quartzScheduler_Worker-4] INFO  custmer - [test,35] - 执行测试方法
12:47:45.001 [quartzScheduler_Worker-5] INFO  custmer - [test,35] - 执行测试方法
14:11:24.090 [restartedMain] INFO  c.r.RuoYiApplication - [logStarting,55] - Starting RuoYiApplication using Java 1.8.0_202 on SC-202208161009 with PID 3752 (D:\RuoYi-Vue-master-pg\RuoYi-Vue-master\ruoyi-admin\target\classes started by Administrator in D:\RuoYi-Vue-master-pg)
14:11:24.093 [restartedMain] INFO  c.r.RuoYiApplication - [logStartupProfileInfo,686] - The following 1 profile is active: "druid"
14:11:32.090 [restartedMain] INFO  c.r.RuoYiApplication - [logStarted,61] - Started RuoYiApplication in 8.435 seconds (JVM running for 9.564)
14:11:32.100 [quartzScheduler_Worker-1] INFO  custmer - [test,35] - 执行测试方法
14:11:35.004 [quartzScheduler_Worker-2] INFO  custmer - [test,35] - 执行测试方法
14:11:40.001 [quartzScheduler_Worker-3] INFO  custmer - [test,35] - 执行测试方法
14:11:45.001 [quartzScheduler_Worker-4] INFO  custmer - [test,35] - 执行测试方法
14:11:50.001 [quartzScheduler_Worker-5] INFO  custmer - [test,35] - 执行测试方法
14:11:51.751 [schedule-pool-1] INFO  sys-user - [run,55] - [127.0.0.1]内网IP[admin][Success][登录成功]
14:11:55.002 [quartzScheduler_Worker-6] INFO  custmer - [test,35] - 执行测试方法
14:12:00.002 [quartzScheduler_Worker-7] INFO  custmer - [test,35] - 执行测试方法
14:12:05.000 [quartzScheduler_Worker-8] INFO  custmer - [test,35] - 执行测试方法
14:12:10.002 [quartzScheduler_Worker-9] INFO  custmer - [test,35] - 执行测试方法
14:12:15.002 [quartzScheduler_Worker-10] INFO  custmer - [test,35] - 执行测试方法
14:12:20.000 [quartzScheduler_Worker-1] INFO  custmer - [test,35] - 执行测试方法
14:12:25.001 [quartzScheduler_Worker-2] INFO  custmer - [test,35] - 执行测试方法
14:12:30.001 [quartzScheduler_Worker-3] INFO  custmer - [test,35] - 执行测试方法
14:12:35.000 [quartzScheduler_Worker-4] INFO  custmer - [test,35] - 执行测试方法
